Date,Open,High,Low,Close,Volume
2014-10-23,20.0,20.0,20.0,20.0,0
2014-10-24,20.0,20.0,20.0,20.0,0
2014-10-27,20.0,20.0,20.0,20.0,0
2014-10-28,20.0,20.0,20.0,20.0,0
2014-10-29,20.0,20.0,20.0,20.0,0
2014-10-30,19.99,19.99,19.99,19.99,0
2014-10-31,19.99,20.2,19.93,20.2,16734000
2014-11-03,20.18,20.55,20.18,20.36,9473000
2014-11-04,20.5,20.65,20.35,20.47,6314000
2014-11-05,20.51,20.55,20.27,20.3,6678000
2014-11-06,20.36,20.4,20.01,20.01,11583000
2014-11-07,20.08,20.18,19.9,20.13,7900000
2014-11-10,20.17,20.84,20.17,20.74,11462000
2014-11-11,20.8,20.87,20.66,20.69,5152000
2014-11-12,20.5,20.58,20.01,20.1,4540000
2014-11-13,20.18,20.34,20.11,20.3,2603000
2014-11-14,20.31,20.44,20.22,20.32,2762000
2014-11-17,20.51,20.6,19.93,20.06,6678000
2014-11-18,20.12,20.25,19.8,19.9,4106000
2014-11-19,19.95,20.47,19.95,20.38,7707000
2014-11-20,20.5,20.92,20.5,20.91,4868000
2014-11-21,19.5,19.53,19.46,19.48,8482000
2014-11-24,19.48,19.48,19.37,19.47,6424000
2014-11-25,19.52,19.53,19.42,19.45,4919000
2014-11-26,19.5,19.5,19.45,19.48,1768000
2014-11-27,19.42,19.42,19.24,19.33,5636000
2014-11-28,19.32,19.35,19.29,19.34,3636000
2014-12-01,19.58,19.61,19.35,19.45,8582000
2014-12-02,19.49,19.68,19.49,19.62,7542000
2014-12-03,19.6,19.6,19.3,19.34,9547000
2014-12-04,19.25,19.29,19.17,19.26,11225000
2014-12-05,19.26,19.33,19.24,19.27,1902000
2014-12-08,19.2,19.34,19.18,19.3,2488000
2014-12-09,19.37,19.44,19.34,19.4,1926000
2014-12-10,19.52,19.67,19.42,19.65,5619000
2014-12-11,19.75,19.77,19.6,19.66,3793000
2014-12-12,19.66,19.68,19.56,19.65,2133000
2014-12-15,19.75,19.83,19.66,19.66,8275000
2014-12-16,19.7,19.74,19.62,19.74,5639000
2014-12-17,19.74,19.97,19.74,19.91,23069000
2014-12-18,19.83,19.95,19.79,19.95,16728000
2014-12-19,19.66,19.73,19.54,19.59,7464000
2014-12-22,19.59,19.59,19.42,19.43,3874000
2014-12-23,19.38,19.43,19.35,19.38,2677000
2014-12-24,19.38,19.38,19.24,19.27,5562000
2014-12-25,19.25,19.3,19.25,19.27,2226000
2014-12-26,19.27,19.27,19.19,19.2,2969000
2014-12-29,19.12,19.13,18.96,18.98,8002000
2014-12-30,18.95,19.09,18.93,19.06,4986000
2014-12-31,19.07,19.11,19.01,19.05,3402000
2015-01-05,0.8705,0.8764,0.8673,0.8691,123860000
2015-01-06,0.8786,0.89,0.8777,0.8877,224312000
2015-01-07,0.8877,0.8891,0.8836,0.8859,135520000
2015-01-08,0.875,0.8786,0.8691,0.8691,287254000
2015-01-09,0.8636,0.8723,0.8632,0.8714,82720000
2015-01-12,0.8759,0.8773,0.8709,0.875,90090000
2015-01-13,0.875,0.8773,0.8668,0.8709,176396000
2015-01-14,0.8723,0.8777,0.87,0.8759,142318000
2015-01-15,0.8718,0.88,0.8714,0.8759,151734000
2015-01-16,0.87,0.885,0.87,0.8818,310574000
2015-01-19,0.8718,0.8795,0.8691,0.8777,217866000
2015-01-20,0.8741,0.8755,0.8686,0.8691,282018000
2015-01-21,0.8668,0.8668,0.8636,0.865,356378000
2015-01-22,0.8632,0.8632,0.8559,0.8586,324016000
2015-01-23,0.85,0.8514,0.8486,0.85,326678000
2015-01-26,0.8532,0.8532,0.8496,0.8504,250800000
2015-01-27,0.8459,0.8486,0.8432,0.8454,143176000
2015-01-28,0.8491,0.8491,0.8446,0.845,253396000
2015-01-29,0.8482,0.8532,0.8473,0.8523,185680000
2015-01-30,0.8514,0.8554,0.8504,0.8554,149578000
2015-02-02,0.8568,0.8586,0.8532,0.8554,122518000
2015-02-03,0.8514,0.855,0.8477,0.8504,189376000
2015-02-04,0.8446,0.8459,0.8423,0.8454,216920000
2015-02-05,0.7714,0.7714,0.7714,0.7714,0
2015-02-06,0.8454,0.85,0.8446,0.8496,67848000
2015-02-09,0.8523,0.8532,0.8496,0.8514,57530000
2015-02-10,0.8523,0.8532,0.85,0.8532,79992000
2015-02-11,0.85,0.8504,0.8464,0.8468,68200000
2015-02-12,0.8468,0.8496,0.8464,0.8482,47696000
2015-02-13,0.8454,0.8454,0.8418,0.8446,143374000
2015-02-24,0.8391,0.8391,0.835,0.8359,245300000
2015-02-25,0.8323,0.8336,0.8309,0.8309,178332000
2015-02-26,0.8332,0.8354,0.8323,0.8336,55396000
2015-03-02,0.8341,0.8364,0.8309,0.8359,81202000
2015-03-03,0.8323,0.8396,0.8323,0.8364,37246000
2015-03-04,0.8386,0.8404,0.835,0.8368,48664000
2015-03-05,0.8364,0.8418,0.8359,0.8373,60896000
2015-03-06,0.8386,0.8404,0.8354,0.8364,65230000
2015-03-09,0.84,0.8423,0.8386,0.8396,88154000
2015-03-10,0.8423,0.8454,0.8396,0.8436,108922000
2015-03-11,0.85,0.8504,0.8427,0.845,118932000
2015-03-12,0.845,0.8454,0.8382,0.8386,107822000
2015-03-13,0.8386,0.8396,0.835,0.8396,111320000
2015-03-16,0.8396,0.8423,0.8386,0.8423,44880000
2015-03-17,0.8386,0.8418,0.8346,0.8418,131164000
2015-03-18,0.8409,0.8409,0.8341,0.8359,173426000
2015-03-19,0.8318,0.8318,0.8245,0.8268,308616000
2015-03-20,0.8273,0.8277,0.825,0.8264,62568000
2015-03-23,0.8268,0.8277,0.825,0.8264,63360000
2015-03-24,0.8268,0.8309,0.8255,0.8291,55792000
2015-03-25,0.8296,0.8327,0.8286,0.8309,48708000
2015-03-26,0.8368,0.84,0.8354,0.8373,166870000
2015-03-27,0.8386,0.8441,0.8368,0.8436,139634000
2015-03-30,0.8436,0.8454,0.8418,0.8427,131934000
2015-03-31,0.8409,0.8427,0.8382,0.84,87582000
2015-04-01,0.8454,0.8473,0.8441,0.8459,122320000
