Date,Open,High,Low,Close,Volume
2010-01-04,21.9104,22.1363,21.7975,21.9857,9510076
2010-01-05,22.2869,23.1151,22.2869,22.6633,25902093
2010-01-06,22.6633,22.9645,22.3622,22.8516,16052021
2010-01-07,22.8516,24.2069,22.8139,23.7927,34708342
2010-01-08,23.981,24.0939,23.341,23.7927,19662990
2010-01-11,23.7927,23.9433,23.228,23.5669,14691336
2010-01-12,23.2657,23.5292,23.1151,23.4916,8929629
2010-01-13,23.0398,23.1904,22.588,22.8139,12844841
2010-01-14,22.8139,23.4539,22.6633,23.1151,18460735
2010-01-15,23.1151,23.3033,22.7763,22.8516,12799275
2010-01-18,22.701,22.8516,22.4751,22.4751,12784553
2010-01-19,22.4751,22.6257,22.061,22.3998,15604067
2010-01-20,21.8351,22.0986,21.6092,21.7598,29063005
2010-01-21,21.6845,21.7598,21.1198,21.1951,17709239
2010-01-22,20.8563,21.0069,19.8775,20.4045,33902867
2010-01-25,20.2163,20.8187,20.0281,20.5175,15932146
2010-01-26,20.5175,20.5928,19.501,19.9151,31224259
2010-01-27,19.6892,19.9528,19.1998,19.1998,21185611
2010-01-28,19.3504,20.5175,19.3128,19.9151,38216962
2010-01-29,19.5763,19.5763,19.1245,19.1245,27191274
2010-02-01,19.1622,19.2751,18.3716,18.3716,34697827
2010-02-02,18.6728,19.0116,18.1081,18.1081,61702629
2010-02-03,18.9363,19.3504,18.8234,19.3504,43932401
2010-02-04,19.6892,20.4045,19.6516,19.8398,45398240
2010-02-05,19.1998,19.6516,19.1622,19.3881,37584639
2010-02-08,20.3292,20.4798,19.4634,19.9528,23173011
2010-02-09,19.614,20.4798,19.5387,19.9151,35996822
2010-02-10,20.2916,20.5551,19.9904,20.3292,31895137
2010-02-22,21.3457,21.7222,20.8563,21.0445,23594326
2010-02-23,21.0445,21.0822,20.6304,20.8939,11252818
2010-02-24,20.4045,20.6304,20.3292,20.3669,16286864
2010-02-25,20.3669,20.4798,19.7269,19.8022,17916041
2010-02-26,19.8022,19.9904,18.8987,19.1998,33005558
2010-03-01,19.501,20.5175,19.4257,20.2163,35896576
2010-03-02,20.4422,20.4798,20.0657,20.0657,14053405
2010-03-03,20.1034,20.254,19.5387,19.7269,15447038
2010-03-04,19.9528,19.9528,19.4634,19.5763,20746771
2010-03-05,19.8775,19.9151,19.5763,19.7269,17416211
2010-03-08,20.1034,20.781,19.9528,20.5175,33567077
2010-03-09,20.5175,20.8187,20.5175,20.5175,25904897
2010-03-10,20.781,20.781,20.4798,20.7057,19376972
2010-03-11,20.781,21.0822,20.5175,20.5551,17578849
2010-03-12,20.6681,20.7434,20.4798,20.4798,13139271
2010-03-15,20.4798,20.5928,20.0281,20.0281,8385635
2010-03-16,20.4045,20.4422,20.0281,20.0281,10706021
2010-03-17,20.3292,20.7434,20.2916,20.6304,22399783
2010-03-18,20.5551,21.1951,20.5551,21.0822,31038488
2010-03-19,21.1575,21.421,21.0822,21.2704,27777329
2010-03-22,21.1198,21.1198,20.5928,20.9692,14600203
2010-03-23,21.0445,21.3081,21.0069,21.0445,15923033
2010-03-24,21.3833,21.6092,21.3833,21.421,22696316
2010-03-25,21.3081,21.5339,21.0069,21.5339,23037714
2010-03-26,21.2328,21.6092,21.0069,21.4586,17025742
2010-03-29,21.5716,21.6845,21.0069,21.1198,17659466
2010-03-30,21.1575,21.6469,20.8939,21.6092,24462893
2010-03-31,21.6845,22.1363,21.5716,21.8351,37402373
2010-04-01,21.9857,22.6633,21.948,22.2869,41169670
2010-04-02,22.3622,22.6633,22.3622,22.6257,22924148
2010-04-06,22.8892,23.5669,22.7386,22.8892,27448549
2010-04-07,22.9645,22.9645,22.4375,22.588,22832314
2010-04-08,22.8892,22.9269,21.9857,22.1739,27199686
2010-04-09,22.2116,23.228,21.8728,22.7763,25683374
2010-04-12,22.8892,23.341,22.8892,23.2657,17517860
2010-04-13,23.1151,23.5669,23.1151,23.3786,29110675
2010-04-14,23.6045,23.7175,23.1528,23.5669,19630042
2010-04-15,23.7174,24.0186,23.6045,23.8304,19169470
2010-04-16,23.8304,23.8304,22.8139,23.1151,25101525
2010-04-19,22.588,22.7763,22.061,22.2492,28634680
2010-04-20,22.3622,22.7763,22.3622,22.7763,18828071
2010-04-21,22.9645,23.0022,22.701,22.8516,15620191
2010-04-22,22.9269,23.4163,22.6633,23.2657,16393419
2010-04-23,23.3786,23.981,23.3786,23.9057,25496902
2010-04-26,24.1316,24.3574,23.7551,23.9057,22118673
2010-04-27,23.981,24.2821,23.6045,24.0939,13258445
2010-04-28,22.9645,23.8304,22.9645,23.6422,11749143
2010-04-29,23.7927,23.7927,23.1151,23.341,16868713
2010-04-30,23.7927,24.0563,23.341,23.4163,17618807
