Date,Open,High,Low,Close,Volume
2010-01-04,8222.3798,8240.41,8143.4105,8207.8096,6429400
2010-01-05,8277.6696,8283.5993,8162.5002,8211.3604,6762000
2010-01-06,8237.06,8327.8301,8216.8804,8327.5801,6421600
2010-01-07,8344.519,8369.5091,8233.5498,8237.3799,7133000
2010-01-08,8266.8301,8290.6201,8178.8906,8280.8604,5764400
2010-01-11,8291.4796,8357.8602,8281.6799,8323.7803,5857000
2010-01-12,8343.6903,8356.9295,8262.5403,8309.3301,5246000
2010-01-13,8229.2098,8257.7897,8194.7695,8196.5195,4925600
2010-01-14,8245.8205,8313.9003,8237.6301,8289.9404,4837200
2010-01-15,8340.5596,8380.1903,8325.7804,8356.8496,5643400
2010-01-18,8290.3401,8367.6102,8290.3401,8337.7803,5100400
2010-01-19,8387.6194,8395.3489,8227.2599,8248.96,5582400
2010-01-20,8309.15,8309.15,8191.4,8220.8896,5009800
2010-01-21,8189.4621,8208.172,8107.5123,8127.8325,4596800
2010-01-22,7986.3928,8015.9127,7912.8131,7927.2729,4907200
2010-01-25,7845.2633,7938.1032,7828.3034,7872.9536,3663800
2010-01-26,7902.9932,7922.0332,7572.545,7598.7749,5680000
2010-01-27,7639.6847,7656.9146,7530.3751,7559.9946,3986200
2010-01-28,7630.1253,7756.7346,7607.5253,7694.5449,3931200
2010-01-29,7593.3449,7649.6948,7481.8655,7640.4048,3949400
2010-02-01,7653.8549,7661.6649,7493.7755,7524.6353,3222400
2010-02-02,7633.7051,7635.6949,7398.7658,7429.5757,3759800
2010-02-03,7523.755,7550.7847,7441.8853,7547.9448,3152400
2010-02-04,7563.1552,7578.1453,7504.9255,7542.0054,2813800
2010-02-05,7323.1265,7352.9462,7196.357,7217.7969,4614600
2010-02-08,7236.5966,7253.2069,7173.1472,7215.8467,3033600
2010-02-09,7225.6769,7381.786,7197.0969,7361.0063,3730000
2010-02-10,7438.086,7496.3054,7404.9362,7441.8057,3984400
2010-02-22,7619.8347,7619.8347,7553.2549,7560.0049,3187400
2010-02-23,7575.5851,7597.4048,7502.4155,7597.4048,2992800
2010-02-24,7516.4356,7585.155,7515.3453,7529.6353,2858200
2010-02-25,7568.3851,7568.3851,7400.3859,7426.9258,3420800
2010-02-26,7451.1357,7479.2454,7383.6462,7436.0659,2737400
2010-03-01,7492.8051,7620.5247,7451.0553,7577.7148,3501600
2010-03-02,7649.5847,7664.4548,7592.625,7597.585,3158200
2010-03-03,7628.7446,7670.2147,7604.8248,7629.4849,3005000
2010-03-04,7663.9644,7663.9644,7524.155,7569.7646,3480400
2010-03-05,7659.7246,7694.8548,7617.9651,7666.2246,3218800
2010-03-08,7741.7643,7763.7241,7716.2444,7762.2344,3455000
2010-03-09,7762.3643,7770.5542,7737.6144,7770.5542,2978600
2010-03-10,7797.6645,7803.2343,7736.6647,7779.0444,2974000
2010-03-11,7817.5539,7818.8039,7749.3643,7749.6245,3106000
2010-03-12,7773.4843,7773.4843,7726.0543,7748.2944,2575400
2010-03-15,7750.8344,7766.3241,7634.8848,7634.8848,2705800
2010-03-16,7671.3751,7695.7749,7645.135,7695.5947,2343400
2010-03-17,7763.3944,7849.3437,7762.8144,7847.8037,3959000
2010-03-18,7861.233,7922.4427,7847.5129,7886.3027,4674600
2010-03-19,7898.9727,7898.9727,7859.2531,7897.873,4037000
2010-03-22,7861.8637,7872.7435,7791.2141,7835.9438,3768800
2010-03-23,7880.0842,7889.004,7804.3643,7811.8345,4063400
2010-03-24,7875.2336,7881.3337,7822.6738,7822.6738,4041400
2010-03-25,7824.7042,7856.2738,7753.474,7838.064,3696800
2010-03-26,7808.1136,7909.3734,7770.3838,7876.8232,3781000
2010-03-29,7918.9132,7961.103,7909.0231,7947.4131,3972800
2010-03-30,7992.0829,7994.5829,7942.4332,7962.1831,3880200
2010-03-31,7962.8728,7974.8528,7920.0229,7920.0229,3841600
2010-04-01,7952.5828,8026.0224,7952.5828,8013.0522,4758600
2010-04-02,8046.2523,8050.9525,8021.8726,8025.8926,3764600
2010-04-06,8082.9922,8128.0423,8082.3326,8089.6123,4339600
2010-04-07,8131.3623,8133.4125,8091.2423,8121.7422,4172600
2010-04-08,8105.9622,8149.6421,8038.3326,8057.5625,5082800
2010-04-09,8073.4825,8094.3125,8039.3728,8091.9922,3819000
2010-04-12,8149.722,8152.492,8092.9025,8117.7124,4184800
2010-04-13,8090.5022,8104.1022,8022.9024,8029.6924,4054200
2010-04-14,8077.9024,8102.3423,8039.9724,8097.0923,3749000
2010-04-15,8168.0723,8189.9721,8136.2824,8171.9023,5190600
2010-04-16,8161.8123,8162.8123,8090.6427,8111.5322,4369400
2010-04-19,8002.9827,8042.0123,7845.7334,7854.1836,5187400
2010-04-20,7908.0727,7923.2328,7842.033,7900.3828,3753600
2010-04-21,7949.9226,7998.7221,7947.8625,7990.4922,3901200
2010-04-22,7948.8527,7985.4526,7897.1029,7978.6523,3692800
2010-04-23,8021.6723,8030.0721,7996.7325,8004.8525,4027600
2010-04-26,8107.1829,8168.4326,8093.1028,8158.1025,4437400
2010-04-27,8174.8124,8174.8124,8121.1027,8146.4023,3716000
2010-04-28,7944.6632,8092.4423,7944.6632,8081.5122,4334800
2010-04-29,8105.9221,8107.322,8052.9824,8054.0122,4648600
2010-04-30,8116.352,8163.9016,7999.2422,8004.2124,5150600
2010-05-03,7979.7626,8022.4128,7916.0031,7952.1328,3430400
2010-05-04,8006.7526,8010.9425,7889.8933,7930.7329,3672800
2010-05-05,7759.1447,7785.5142,7695.6548,7696.8647,4732200
2010-05-06,7696.2343,7702.0741,7561.9947,7579.4448,4090600
2010-05-07,7393.2357,7572.7549,7387.1556,7567.0649,4756000
2010-05-10,7610.845,7664.6948,7577.2753,7664.6948,3267400
2010-05-11,7718.1343,7743.3744,7608.4048,7608.4048,3875600
2010-05-12,7663.3044,7674.4845,7596.1748,7602.665,2929200
2010-05-13,7703.4446,7787.2841,7687.5145,7770.5342,3779600
2010-05-14,7735.5646,7772.5044,7725.7844,7772.0942,2810200
2010-05-17,7697.7544,7697.7544,7574.025,7598.6851,3083600
2010-05-18,7630.0647,7637.9548,7560.8551,7585.2646,2829800
2010-05-19,7527.5851,7588.0546,7467.1655,7559.125,3417800
2010-05-20,7557.1351,7557.1351,7424.396,7424.396,3058800
2010-05-21,7229.1368,7277.8968,7164.1771,7237.6768,3918400
2010-05-24,7296.1163,7344.8861,7269.7766,7322.6963,2518600
2010-05-25,7238.1272,7241.8069,7032.3679,7086.3379,3914000
2010-05-26,7161.3672,7174.3471,7079.8178,7167.3174,3536200
2010-05-27,7139.4175,7254.6469,7105.0773,7243.127,3097400
2010-05-28,7338.7361,7363.9758,7271.2662,7295.2861,3575800
2010-05-31,7312.2259,7373.9458,7292.5062,7373.9458,2443000
2010-06-01,7326.9759,7348.5261,7276.4864,7289.2964,2518000
2010-06-02,7252.7566,7304.0962,7159.717,7195.6768,2794200
2010-06-03,7322.4762,7361.6665,7309.4265,7360.2461,2820800
2010-06-04,7377.5262,7377.5262,7337.3164,7344.5562,2484600
2010-06-07,7139.7271,7172.267,7085.5174,7157.7974,2801400
2010-06-08,7142.2774,7179.1073,7128.8873,7151.9575,2772200
2010-06-09,7166.1578,7193.0078,7048.5685,7071.6382,3194200
2010-06-10,7134.1272,7182.957,7085.3071,7181.7368,2467200
2010-06-11,7302.9365,7321.5663,7273.6666,7299.4565,3280800
2010-06-14,7372.8961,7393.3759,7347.196,7387.3657,2681000
2010-06-15,7388.5359,7489.6458,7364.3061,7454.0259,2928800
2010-06-17,7503.0855,7534.0253,7481.6857,7515.7451,3259000
2010-06-18,7538.5154,7538.5154,7459.8961,7493.0757,2359000
2010-06-21,7595.8952,7645.6748,7562.2152,7635.5249,3884600
2010-06-22,7630.6049,7639.6249,7610.585,7612.645,2901200
2010-06-23,7576.2549,7615.4046,7549.945,7582.1147,2991200
2010-06-24,7601.685,7607.5946,7567.9249,7589.855,3013000
2010-06-25,7509.6859,7537.3357,7463.2559,7474.6758,3368200
2010-06-28,7507.1157,7536.5755,7489.5157,7500.7559,3169800
2010-06-29,7554.745,7584.7751,7423.5356,7423.5356,3366600
2010-06-30,7277.3567,7337.2861,7255.0565,7329.3364,3332000
2010-07-01,7326.8561,7327.3659,7251.5664,7254.0264,3086400
2010-07-02,7284.9763,7378.7361,7284.9763,7330.7065,3677600
2010-07-05,7351.1464,7447.146,7351.1464,7439.9258,3403400
2010-07-06,7385.2957,7548.4448,7382.3357,7548.4448,4087000
2010-07-07,7560.1854,7565.3353,7517.6456,7534.4253,3765400
2010-07-08,7612.6748,7622.4247,7583.3248,7608.8149,4278000
2010-07-09,7644.0747,7652.5146,7599.8049,7647.2148,3585200
2010-07-12,7674.2244,7705.0744,7636.7749,7639.5146,3604800
2010-07-13,7664.6745,7671.4445,7587.835,7597.3848,3037600
2010-07-14,7688.7848,7720.5947,7683.7951,7714.4746,4078000
2010-07-15,7699.4551,7732.2748,7681.8351,7704.4849,3892600
2010-07-16,7717.2048,7719.0144,7660.7246,7664.5347,4754200
2010-07-19,7602.6452,7666.5448,7596.2249,7649.7949,3152200
2010-07-20,7678.8551,7730.8446,7638.4554,7711.9946,3555000
2010-07-21,7742.4446,7752.7644,7678.2648,7701.2549,3832000
2010-07-22,7699.3246,7718.8845,7665.7446,7666.3047,3409400
2010-07-23,7746.9942,7781.9843,7739.0045,7761.1846,4402800
2010-07-26,7787.0342,7807.0341,7765.6446,7787.4146,3916600
2010-07-27,7806.2141,7806.2141,7747.9741,7747.9741,3609200
2010-07-28,7736.5544,7786.1943,7726.3645,7784.7744,4175400
2010-07-29,7778.7047,7799.5342,7738.4446,7798.9546,4541000
2010-07-30,7765.2143,7781.2045,7731.1544,7760.5942,4154600
2010-08-02,7829.1532,7917.9131,7829.1532,7911.6431,5231200
2010-08-03,7961.643,7970.5429,7915.7932,7957.4927,5229600
2010-08-04,7960.2628,7978.123,7938.883,7972.623,4822400
2010-08-05,8010.0324,8018.7027,7921.9429,7936.813,6156600
2010-08-06,7938.0529,7963.2627,7922.2531,7963.2627,4304800
2010-08-09,7974.6326,8040.9023,7971.1526,8034.4526,4990400
2010-08-10,8054.2521,8054.2521,7975.3423,7976.7026,5258800
2010-08-11,7923.5326,7956.8625,7869.483,7894.9927,4870400
2010-08-12,7789.424,7837.3437,7776.6243,7829.7539,4390000
2010-08-13,7845.9431,7906.3129,7830.4231,7891.543,4814200
2010-08-16,7884.2429,7941.1831,7850.0932,7941.1831,4424600
2010-08-17,7962.6629,7973.1126,7931.0527,7931.0527,5046000
2010-08-18,7978.4827,7984.5324,7897.1432,7924.063,5324400
2010-08-19,7925.4429,7948.6928,7886.6931,7928.9028,4969400
2010-08-20,7915.1231,7941.5727,7904.9728,7927.2729,4005400
2010-08-23,7938.173,8013.0828,7924.0632,7975.8931,4635000
2010-08-24,7983.5828,7990.4529,7940.603,7940.603,4714600
2010-08-25,7889.5335,7889.5335,7736.9443,7736.9443,5725600
2010-08-26,7743.2844,7758.1047,7666.4747,7689.7051,4425200
2010-08-27,7702.5548,7722.875,7662.1951,7722.875,3458600
2010-08-30,7797.2239,7806.8742,7737.2442,7741.1646,3380800
2010-08-31,7669.2747,7687.4347,7577.0651,7616.2446,4190400
2010-09-01,7643.5748,7679.395,7625.6853,7668.2148,3612200
2010-09-02,7764.7644,7780.4944,7715.2749,7720.7847,4080600
2010-09-03,7770.8943,7830.1738,7770.8943,7830.1738,4494800
2010-09-06,7879.6631,7902.5229,7841.7932,7890.9131,4269000
2010-09-07,7914.3426,7922.0325,7876.6328,7884.3628,4480400
2010-09-08,7866.3134,7898.7229,7824.6134,7851.2734,4209200
2010-09-09,7901.7936,7903.4338,7817.8341,7835.5039,4295800
2010-09-10,7900.5229,7911.6229,7859.2931,7890.0728,4179400
2010-09-13,7961.943,8091.2622,7946.9431,8091.2622,5166600
2010-09-14,8121.6426,8132.5625,8081.7527,8132.5625,4819400
2010-09-15,8152.5923,8163.7822,8113.9328,8163.7822,4851200
2010-09-16,8174.8122,8182.7618,8099.7124,8099.7124,4603800
2010-09-17,8150.9024,8197.7825,8134.2623,8158.2925,5165000
2010-09-20,8174.8423,8195.7026,8161.7823,8186.9224,4425800
2010-09-21,8249.5593,8251.3796,8177.36,8196.3604,4656400
2010-09-23,8201.6397,8223.1796,8154.9304,8202.5,4565800
2010-09-24,8182.1225,8190.9223,8129.1725,8166.5825,4142800
2010-09-27,8239.0725,8240.8225,8189.3423,8191.5024,4624400
2010-09-28,8201.7719,8211.3822,8173.2222,8189.4023,3635400
2010-09-29,8241.6103,8286.8894,8218.7101,8240.8496,5151200
2010-09-30,8259.2001,8267.5096,8204.8,8237.7402,4496600
2010-10-01,8259.04,8260.2402,8220.6905,8244.1396,3893000
2010-10-04,8261.12,8299.9997,8240.6299,8246.0596,5026400
2010-10-05,8217.8202,8217.8202,8155.26,8200.3896,4383800
2010-10-06,8296.1904,8301.3495,8267.5704,8283.9902,5662000
2010-10-07,8304.87,8310.7596,8270.2696,8283.8799,5161200
2010-10-08,8306.28,8309.8698,8231.9796,8244.1504,4236200
2010-10-11,8277.7422,8277.7422,8165.1627,8176.7222,3743400
2010-10-12,8176.6622,8180.3521,8058.5524,8090.1826,4025600
2010-10-13,8116.6523,8143.1522,8067.8327,8106.6226,3692600
2010-10-14,8181.4699,8252.16,8178.3,8215.4102,4537400
2010-10-15,8216.83,8242.7293,8184.2501,8205.2598,4791800
2010-10-18,8209.3514,8209.3514,8057.0825,8060.5024,4396000
2010-10-19,8044.8623,8074.6424,8018.2726,8046.1924,3176000
